name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
FRACTAL,/company/FRACTAL/consolidated/,FRACTAL,24.67,,,,,,,14194.86,825.45
KSB,/company/KSB/consolidated/,KSB,33.63,,,,,,,14158.96,813.55
NAZARA,/company/NAZARA/consolidated/,NAZARA,-1038.15,,,,,,,14148.64,368.65
ANURAS,/company/ANURAS/consolidated/,ANURAS,26.46,,,,,,,14102.58,1238.70
HEG,/company/HEG/consolidated/,HEG,21.14,,,,,,,14053.59,728.25
IGIL,/company/IGIL/consolidated/,IGIL,15.65,,,,,,,13980.37,323.50
EIDPARRY,/company/EIDPARRY/consolidated/,EIDPARRY,4.38,,,,,,,13904.57,781.35
PRUDENT,/company/PRUDENT/consolidated/,PRUDENT,37.70,,,,,,,13861.30,3347.60
GALLANTT,/company/GALLANTT/consolidated/,GALLANTT,19.14,,,,,,,13849.53,574.00
VISL,/company/VISL/consolidated/,VISL,,,,,,,,13838.86,35.39
SCI,/company/SCI/consolidated/,SCI,5.43,,,,,,,13757.40,295.35
VENTIVE,/company/VENTIVE/consolidated/,VENTIVE,11.48,,,,,,,13736.92,588.20
VINATIORGA,/company/VINATIORGA/,VINATIORGA,17.92,,,,,,,13587.45,1310.70
SOBHA,/company/SOBHA/consolidated/,SOBHA,23.35,,,,,,,13514.17,1263.80
NSLNISP,/company/NSLNISP/,NSLNISP,10.69,,,,,,,13486.65,46.02
CEATLTD,/company/CEATLTD/consolidated/,CEATLTD,8.09,,,,,,,13482.82,3333.20
DOMS,/company/DOMS/consolidated/,DOMS,33.33,,,,,,,13404.23,2208.70
ACE,/company/ACE/consolidated/,ACE,20.75,,,,,,,13401.62,1125.40
MOLBIO,/company/MOLBIO/consolidated/,MOLBIO,40.89,,,,,,,13373.60,1160.50
VEDPOWER,/company/VEDPOWER/consolidated/,VEDPOWER,,,,,,,,13373.53,34.20
LUMAXTECH,/company/LUMAXTECH/consolidated/,LUMAXTECH,18.65,,,,,,,13303.70,1951.90
SWANDEF,/company/SWANDEF/consolidated/,SWANDEF,-107.27,,,,,,,13276.96,2520.20
TI,/company/TI/consolidated/,TI,29.19,,,,,,,13242.33,535.10
UTLSOLAR,/company/UTLSOLAR/,UTLSOLAR,20.95,,,,,,,13189.10,429.75
PRIVISCL,/company/PRIVISCL/consolidated/,PRIVISCL,20.39,,,,,,,13153.58,3367.30
LLOYDSENGG,/company/LLOYDSENGG/consolidated/,LLOYDSENGG,45.05,,,,,,,13035.82,84.21
APTUS,/company/APTUS/consolidated/,APTUS,10.53,,,,,,,12963.99,258.85
EDELWEISS,/company/EDELWEISS/consolidated/,EDELWEISS,8.12,,,,,,,12880.53,136.08
BLUESTONE,/company/BLUESTONE/consolidated/,BLUESTONE,29.37,,,,,,,12875.43,842.75
KTKBANK,/company/KTKBANK/,KTKBANK,15.80,,,,,,,12867.38,340.10
INOXWIND,/company/INOXWIND/consolidated/,INOXWIND,13.12,,,,,,,12858.09,74.40
CORONA,/company/CORONA/,CORONA,39.46,,,,,,,12844.23,2100.10
RKFORGE,/company/RKFORGE/consolidated/,RKFORGE,21.09,,,,,,,12767.39,700.85
JSWHL,/company/JSWHL/,JSWHL,75.72,,,,,,,12733.92,11472.00
HOMEFIRST,/company/HOMEFIRST/,HOMEFIRST,14.19,,,,,,,12652.74,1210.10
BBOX,/company/BBOX/consolidated/,BBOX,21.33,,,,,,,12649.50,712.25
JMFINANCIL,/company/JMFINANCIL/consolidated/,JMFINANCIL,7.63,,,,,,,12637.61,132.06
VARROC,/company/VARROC/consolidated/,VARROC,15.19,,,,,,,12625.50,826.35
MANORAMA,/company/MANORAMA/,MANORAMA,30.57,,,,,,,12582.82,1993.40
NUVOCO,/company/NUVOCO/consolidated/,NUVOCO,9.06,,,,,,,12577.25,352.15
UJJIVANSFB,/company/UJJIVANSFB/,UJJIVANSFB,13.59,,,,,,,12554.45,64.43
WABAG,/company/WABAG/consolidated/,WABAG,19.42,,,,,,,12531.43,2005.30
PCBL,/company/PCBL/consolidated/,PCBL,14.85,,,,,,,12472.76,317.00
SEDEMAC,/company/SEDEMAC/,SEDEMAC,56.41,,,,,,,12431.35,2814.40
GODREJAGRO,/company/GODREJAGRO/consolidated/,GODREJAGRO,13.91,,,,,,,12407.65,644.85
AMAGI,/company/AMAGI/consolidated/,AMAGI,75.13,,,,,,,12399.70,563.30
SOUTHBANK,/company/SOUTHBANK/,SOUTHBANK,16.10,,,,,,,12386.67,47.29
E2E,/company/E2E/,E2E,46.04,,,,,,,12365.76,601.55
PARKHOSPS,/company/PARKHOSPS/consolidated/,PARKHOSPS,24.70,,,,,,,12364.02,286.25
TRIDENT,/company/TRIDENT/consolidated/,TRIDENT,14.13,,,,,,,12311.83,24.16
GRAVITA,/company/GRAVITA/consolidated/,GRAVITA,23.77,,,,,,,12264.01,1661.60
