nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
TMB,T N Merc. Bank,Banks - Private,Financial Services,Financial Services,Private Sector Bank,1,1
TRANSRAILL,Transrail Light,EPC,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
TRAVELFOOD,Travel Food,Hotels,Consumer Discretionary,Consumer Services,Restaurants,1,1
TRIDENT,Trident,Textiles - Home Textile,Consumer Discretionary,Textiles,Other Textile Products,1,1
TRITURBINE,Triveni Turbine,Capital Goods - Gensets/Turbines,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
TRIVENI,Triven.Engg.Ind.,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,1,1
TRUALT,TruAlt Bioenergy,Miscellaneous,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,1,1
TSFINV,Tsf Investments,Finance & Investments - CV Finance,Financial Services,Financial Services,Investment Company,1,1
TTKPRESTIG,TTK Prestige,Domestic Appliances,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
TTML,Tata Tele. Mah.,Telecom Services,Telecommunication,Telecommunication,Telecom - Cellular & Fixed line services,1,1
TURTLEMINT,Turtlemint Fintech,IT - Software,Financial Services,Financial Services,Financial Technology (Fintech),1,1
TVSELECT,TVS Elec.,Computer - Hardware,Information Technology,Information Technology,Computers Hardware & Equipments,1,1
TVSSCS,TVS Supply,Logistics - Warehousing/Supply Chain,Services,Services,Logistics Solution Provider,1,1
TVSSRICHAK,TVS Srichakra,Tyres & Tubes,Consumer Discretionary,Automobile and Auto Components,Tyres & Rubber Products,1,1
UDS,Updater Services,Facility Management,Services,Services,Diversified Commercial Services,1,1
UFBL,United Foodbrands,Quick Service Restaurant - QSR,Consumer Discretionary,Consumer Services,Restaurants,1,1
UFLEX,Uflex,Packaging - BOPP,Industrials,Capital Goods,Packaging,1,1
UJJIVANSFB,Ujjivan Small,Banks - Small Finance,Financial Services,Financial Services,Other Bank,1,1
UNICHEMLAB,Unichem Labs.,Pharma - Others,Healthcare,Healthcare,Pharmaceuticals,1,1
UNIECOM,Unicommerce,IT - Software,Information Technology,Information Technology,Software Products,1,1
UNIMECH,Unimech Aero.,Engineering - Heavy - General,Industrials,Capital Goods,Aerospace & Defense,1,1
UNIPARTS,Uniparts India,"Castings, Forgings & Fastners",Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
UNITECH,,Miscellaneous,,,,1,0
UNIVCABLES,Universal Cables,Cables - Power,Industrials,Capital Goods,Cables - Electricals,1,1
URBANCO,Urban Company,E-Commerce - Platform - Utility,Consumer Discretionary,Consumer Services,E-Retail/ E-Commerce,1,1
USHAMART,Usha Martin,Steel - Wires,Industrials,Capital Goods,Iron & Steel Products,1,1
UTIAMC,UTI AMC,Finance - AMC,Financial Services,Financial Services,Asset Management Company,1,1
UTKARSHBNK,Utkarsh Small F.,Banks - Small Finance,Financial Services,Financial Services,Other Bank,1,1
UTLSOLAR,Fujiyama Power,Electric Equipment - General,Industrials,Capital Goods,Other Electrical Equipment,1,1
V2RETAIL,V2 Retail,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Speciality Retail,1,1
